#POSITIVE_LEXICON	STRENGTH-ASSIGNED
2gether	1
4ever	0.3
4ward	0.5
a+	1
aaw	1
abidance	0.4
abies	0.2
abilities	0.4
ability	0.3
able	0.1
abloom	0.2
ablution	0.1
ably	0.3
abound	0.1
abounds	0.2
above-average	0.3
aboveboard	0.2
abovementioned	0.4
abreast	0.2
absentmindedness	0.2
absolute	0.2
absoluteness	0.2
absolution	0.2
absolve	0.1
absolved	0.2
absolver	0.1
absolves	0.2
absolving	0.3
absolvitory	0.1
absorbed	0.1
absorbent	0.1
abundance	0.2
abundant	0.6
abundantly	0.2
accede	0.2
accelerated	0.1
accept	0.1
acceptability	0.1
acceptable	0.1
acceptably	0.1
acceptance	0.1
acceptation	0.1
accepted	0.5
acceptive	0.1
accepts	0.4
access	0.1
accessable	0.3
accessible	0.1
accession	0.1
acclaim	0.3
acclaimed	0.4
acclamation	0.2
acclimatization	0.1
acclimatize	0.1
accolade	0.4
accolades	0.4
accommodate	0.4
accommodating	0.4
accommodation	0.1
accommodational	0.1
accommodative	0.4
accomodate	0.5
accomodative	0.8
accomplish	0.4
accomplishable	0.2
accomplished	0.3
accomplishes	0.6
accomplishment	0.3
accomplishments	0.5
accord	0.3
accordance	0.2
accordant	0.1
accrue	0.3
accueil	0.2
acculturate	0.1
acculturation	0.1
acculturational	0.1
accumbent	0.1
accuracy	0.1
accurate	0.5
accurately	0.4
accurateness	0.2
accustomed	0.1
ace	0.6
achievability	0.4
achievable	0.4
achieve	0.4
achievement	0.8
achievements	0.5
achiever	0.4
achievible	0.4
acknowledge	0.2
acknowledgeable	0.6
acknowledged	0.1
acknowledgment	0.4
acme	0.5
acquaint	0.2
acquaintance	0.1
acquainted	0.1
acquiescence	0.1
acquiescent	0.1
acquiring	0.1
acquits	0.2
acquittal	0.2
acrobat	0.4
acrobatic	0.5
acrobatics	0.2
action-adventure	0.3
action-packed	0.6
acuity	0.2
acumen	0.2
acuteness	0.1
adagio	0.3
adapt	0.2
adaptability	0.1
adaptable	0.4
adaptation	0.2
adapted	0.2
adapter	0.1
adaptive	0.1
added	0.1
addictively	0.3
addressable	0.2
addresses	0.2
addy	0.4
adept	0.6
adeptly	0.5
adeptness	0.6
adequacy	0.2
adequate	0.2
adequate-borderline	0.1
adequately	0.2
adhere	0.1
adherence	0.1
adherent	0.1
adjustable	0.2
adjusted	0.1
adjustment	0.1
admirability	0.1
admirable	0.4
admirably	0.4
admiration	0.5
admire	0.6
admired	0.6
admirer	0.5
admires	0.7
admiring	1
admiringly	1
admissibility	0.1
admissible	0.1
admission	0.1
admissive	0.1
admittance	0.2
admittedly	0.2
adonis	0.6
adopts	0.2
adorability	0.6
adorable	0.7
adorably	0.8
adoration	0.5
adorbs	1
adorbz	1
adore	0.7
adored	1
adorer	0.8
adores	0.9
adoring	0.7
adoringly	1
adorn	0.3
adornment	0.3
adroit	0.4
adroitly	0.4
adulate	0.3
adulation	0.3
advanced	0.3
advancement	0.3
advancing	0.1
advantage	0.6
advantageous	0.6
advantageously	0.7
advantages	0.6
advent	0.2
adventure	0.4
adventures	0.2
adventuresome	0.7
adventurism	0.4
adventurous	0.8
advisable	0.2
advise	0.2
advised	0.1
advocated	0.3
advocates	0.2
aerodynamic	0.4
aesthetic	0.8
aesthetics	0.5
affability	0.6
affable	0.6
affably	0.8
affection	0.8
affectionate	0.9
affectionateness	0.6
affiliate	0.2
affiliation	0.2
affirm	0.4
affirmable	0.4
affirmation	0.2
affirmatively	0.2
affix	0.1
afflatus	0.4
affluence	0.8
affluent	0.8
affordable	0.6
affordably	0.5
afordable	0.5
afterall	0.2
afterglow	0.4
age-old	0.1
agile	0.3
agilely	0.3
agility	0.3
agleam	0.2
aglitter	0.2
aglow	0.2
agree	0.3
agreeability	0.6
agreeable	0.4
agreeableness	0.4
agreeably	0.4
agreed	0.5
agreeing	0.4
agreement	0.2
agrees	0.5
agriculture	0.1
aha	0.5
ahaha	1
ahahah	1
ahead	0.2
ahha	0.8
aid	0.2
aiding	0.1
aight	0.4
air-conditioned	0.4
airtight	0.1
airworthiness	0.2
airworthy	0.2
airy	0.2
alabaster	0.3
alacritous	0.1
alertness	0.1
alight	0.6
align	0.1
alignment	0.1
alimentary	0.3
alimentation	0.1
alive	0.1
allay	0.2
all-clear	0.3
alleviate	0.4
alleviation	0.3
alleviator	0.1
alliance	0.1
allied	0.4
allies	0.4
alll	0.2
allll	0.2
alllll	0.3
all-mighty	0.4
all-new	0.7
allocable	0.1
allowable	0.1
allowance	0.1
allowing	0.2
all-purpose	0.4
all-star	1
allure	0.4
alluring	0.6
alluringly	0.7
aloha	0.8
alol	0.4
alpha	0.8
alright	0.1
altruism	0.4
altruist	0.3
altruistic	0.3
altruistically	0.4
amain	0.4
amative	0.7
amaze	0.8
amazed	0.8
amazement	0.8
amazes	0.9
amazin	1
amazing	0.9
amazingg	1
amazinggg	1
amazingly	1
ambassador	0.4
ambition	0.4
ambitious	0.6
ambitiously	0.6
ambulant	0.1
ambulate	0.1
ameliorate	0.6
ameliorating	0.2
amelioration	0.2
amen	0.2
amenability	0.2
amenable	0.2
amend	0.2
amendable	0.1
amendatory	0.1
amended	0.1
amendment	0.1
amends	0.2
amenity	0.1
amiabily	0.4
amiable	0.4
amicability	0.1
amicable	0.3
amicably	0.1
amity	0.3
amnesty	0.4
amour	0.8
ample	0.3
ampleness	0.3
amplify	0.3
amplitude	0.1
amply	0.3
amuse	0.6
amused	0.9
amusements	0.4
amusing	0.9
amusingly	0.9
analyst	0.1
anchor	0.1
anchorage	0.1
anchoritic	0.1
angel	0.9
angelic	1
animator	0.1
answerable	0.1
antibiotics	0.4
anticipated	0.4
antidote	0.2
anti-glare	0.5
anti-lock	0.3
aow	0.5
ape	0.2
aplomb	0.1
apotheosis	0.3
apotropaic	0.3
appanage	0.1
appeal	0.6
appealable	0.7
appealing	0.7
appeasable	0.1
appease	0.7
appeased	0.4
appeases	0.3
appeasing	0.3
appetizing	0.5
applaud	0.8
applaudable	0.9
applauded	0.6
applauding	0.7
applause	0.8
applicability	0.1
applicable	0.1
appoint	0.3
apposite	0.5
appositional	0.5
appreciable	0.3
appreciate	0.6
appreciated	0.8
appreciates	0.6
appreciating	0.5
appreciation	0.8
appreciative	0.7
appreciatively	0.7
appreciativeness	0.5
apprehensible	0.1
approachable	0.4
approbate	0.2
approbation	0.2
appropriable	0.2
appropriate	0.3
appropriately	0.3
appropriateness	0.3
approval	0.4
approve	0.4
approved	0.6
approver	0.4
approves	0.5
approving	0.4
aptly	0.4
arbiter	0.3
arbitrate	0.2
arbitration	0.1
archaeology	0.2
ardent	0.4
ardently	0.3
ardor	0.4
arisen	0.3
aristocracy	0.2
aristocrat	0.2
aromatic	0.6
arousal	0.3
arouse	0.3
aroused	0.2
arousing	0.6
arranged	0.1
arranger	0.1
artfully	0.7
artist	0.4
artiste	0.5
artistic	0.7
artistical	0.4
artistically	0.7
artlessness	0.1
artsy	0.6
ascend	0.1
ascendable	0.1
ascendancy	0.4
ascendant	0.1
ascending	0.1
ascribe	0.3
ashram	0.5
aspiration	0.9
aspirations	0.4
aspire	0.9
aspiring	0.8
assent	0.4
assenter	0.4
assert	0.1
asserter	0.1
asserting	0.1
assertion	0.1
assertions	0.1
assertive	0.3
assertively	0.1
assertiveness	0.1
assets	0.2
assiduity	0.4
assiduous	0.4
assiduously	0.3
assimilate	0.1
assimilation	0.1
assimilative	0.1
assistive	0.5
ass-kicking	0.2
associability	0.3
associable	0.3
associate	0.1
associative	0.3
assurance	0.3
assurances	0.2
assure	0.2
assured	0.3
assuredly	0.2
assuring	0.4
astonish	0.9
astonished	0.9
astonishing	1
astonishingly	0.8
astonishment	0.8
astound	0.9
astounded	1
astounding	1
astounds	0.7
astrologer	0.1
astronaut	0.1
astronomer	0.1
astute	0.2
astutely	0.2
athletic	0.8
atone	0.2
atonement	0.2
attachment	0.1
attain	0.3
attainable	0.2
attend	0.4
attendance	0.2
attentive	0.3
attentiveness	0.3
attorney	0.1
attract	0.4
attractable	0.4
attracted	0.6
attracting	0.5
attraction	0.4
attractive	0.8
attractively	0.7
attractiveness	0.6
attracts	0.4
attune	0.3
audibly	0.2
aunt	0.1
aura	0.3
aurify	1
auspicious	0.4
auspiciously	0.4
auspiciousness	0.4
authentic	0.6
authentically	0.4
authenticity	0.5
author	0.1
authoritative	0.1
authorized	0.2
auto-focus	0.2
automatic	0.1
automatically	0.2
automatically-bestselling	1
auto-tilting	0.2
auxiliary	0.4
avail	0.2
availability	0.2
aver	0.2
averaged-sized	0.1
average-good	0.3
average-sized	0.3
avid	0.8
avidly	0.9
award	0.9
awarded	0.6
awards	0.5
award-winning	1
awe	0.7
awesome	1
awesomely	1
awesomeness	1
awestruck	0.8
awh	1
awhh	1
awnp	0.3
awsome	1
aww	1
awwh	1
awwwwww	1
awwwwwww	1
ay	0.2
aye	0.5
babygirl	1
baccalaureate	0.2
backed	0.2
backs	0.1
badass	0.5
badge	0.4
bae	1
bahaha	0.9
bahahaha	0.7
balance	0.3
balanced	0.4
ballet	0.3
balloon	0.3
balloonist	0.1
ballot	0.3
