#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
abandon	-0.7
abandonment	-0.6
abandons	-0.4
abase	-0.5
abasement	-0.5
abash	-0.2
abashed	-0.5
abashment	-0.6
abatable	-0.6
abate	-0.3
abdicate	-0.3
abdominous	-0.3
abdominousness	-0.3
abducted	-0.7
abduction	-0.7
abductions	-0.7
aberrant	-0.3
aberration	-0.4
abeyance	-0.3
abeyant	-0.2
abhor	-0.8
abhorred	-0.9
abhorrence	-0.8
abhorrent	-0.8
abhorrently	-0.6
abhors	-0.8
abject	-0.8
abjectly	-0.8
abjure	-0.4
ablated	-0.2
ablation	-0.2
abnegation	-0.4
abnormal	-0.4
abnormality	-0.4
abnormally	-0.4
abolish	-0.6
abolition	-0.6
abominable	-0.4
abominably	-0.5
abominate	-0.3
abomination	-0.5
abominator	-0.3
abort	-0.2
aborted	-0.5
abortion	-0.8
abortive	-0.5
aborts	-0.6
abortus	-0.2
abrasion	-0.4
abrasive	-0.2
abrasiveness	-0.2
abridge	-0.2
abrogate	-0.5
abrogation	-0.4
abrupt	-0.1
abruptly	-0.2
abruptness	-0.1
abscess	-0.2
abscessed	-0.2
abscond	-0.7
absence	-0.1
absent	-0.1
absentee	-0.1
absenteeism	-0.3
absentees	-0.1
absent-minded	-0.7
absolutism	-0.6
absolutist	-0.6
abstain	-0.1
abstemiousness	-0.2
abstrusely	-0.2
absurd	-0.5
absurdity	-0.5
absurdly	-0.7
absurdness	-0.8
abulia	-0.3
abulic	-0.3
abuse	-0.6
abused	-0.7
abuser	-0.6
abuses	-0.7
abusing	-0.9
abusive	-0.7
abusively	-0.7
abuzz	-0.2
abysmal	-0.4
abysmally	-0.4
accident	-0.1
accidental	-0.4
accidentally	-0.6
accidently	-0.7
accidents	-0.6
accomplice	-0.1
accost	-0.3
accountable	-0.3
accurse	-0.6
accursed	-0.6
accusation	-0.4
accusations	-0.3
accusative	-0.3
accusatorial	-0.4
accuse	-0.4
accused	-0.6
accuser	-0.7
accusing	-0.6
accusingly	-0.5
acerb	-0.2
acerbate	-0.4
acerbic	-0.4
acerbity	-0.4
acetaminophen	-0.2
acetose	-0.1
ache	-0.5
ached	-0.6
acheronian	-0.3
aches	-0.3
aching	-0.5
achromatous	-0.1
acid	-0.4
acidic	-0.1
ackee	-0.1
acne	-0.5
acold	-0.3
acquisitive	-0.3
acrid	-0.4
acridity	-0.3
acridly	-0.2
acridness	-0.6
acrimonious	-0.4
acrimoniously	-0.4
acrimony	-0.3
acromegalic	-0.4
acromegaly	-0.8
acrophobia	-0.8
acrophobic	-0.8
actinomycosis	-0.8
actinomycotic	-0.8
actionable	-0.2
activism	-0.6
activist	-0.6
acuate	-0.2
acute	-0.1
acutely	-0.1
adamance	-0.3
adamant	-0.3
adamantly	-0.3
adder	-0.3
addict	-0.5
addicted	-0.5
addicting	-0.3
addiction	-0.1
addicts	-0.3
addled	-0.4
adipose	-0.4
adjudicate	-0.4
admits	-0.1
admitted	-0.1
admonished	-0.7
admonishingly	-0.5
admonishment	-0.8
adrift	-0.1
adulterate	-0.7
adulterated	-0.7
adulterating	-0.5
adulteration	-0.5
adulterator	-0.4
adulterier	-0.7
adulterine	-0.5
adultery	-0.7
adust	-0.1
adversarial	-0.3
adversary	-0.2
adverse	-0.3
adversely	-0.3
adversity	-0.5
adynamic	-0.2
afar	-0.3
affectation	-0.2
afflict	-0.3
afflicted	-0.3
affliction	-0.3
afflictive	-0.3
affront	-0.3
affronted	-0.3
afraid	-0.6
afterdamp	-0.2
aftermath	-0.2
aftershock	-0.3
after-the-fact	-0.5
aggravate	-0.7
aggravated	-0.5
aggravates	-0.5
aggravating	-0.6
aggravation	-0.6
aggravator	-0.5
aggression	-0.5
aggressions	-0.6
aggressive	-0.5
aggressively	-0.6
aggressiveness	-0.6
aggressor	-0.8
aggrieve	-0.4
aggrieved	-0.6
aggrivation	-0.6
agh	-0.8
aghast	-0.6
agitate	-0.7
agitated	-0.4
agitation	-0.4
agitator	-0.6
agnostic	-0.4
agnosticism	-0.4
agonal	-0.4
agonies	-0.7
agonise	-0.9
agonised	-0.3
agonises	-0.4
agonistic	-0.4
agonize	-0.5
agonized	-0.5
agonizes	-0.3
agonizing	-0.6
agonizingly	-0.6
agony	-0.9
agoraphobia	-0.8
agoraphobic	-0.8
aground	-0.4
aguish	-0.4
ah	-0.3
ahh	-0.4
ahhh	-0.4
ahhhh	-0.8
ahhhhh	-0.6
ahhhhhh	-0.7
aids	-1
ail	-0.1
ailing	-0.6
ailment	-0.5
ailurophobia	-0.8
aimless	-0.4
airhead	-1
airless	-0.3
airs	-0.2
airsick	-0.4
airsickness	-0.4
alarmed	-0.5
alarming	-0.5
alarmingly	-0.3
alarmist	-0.7
alarmists	-0.3
alcoholic	-0.5
alcoholism	-0.2
alcoholize	-0.5
alert	-0.2
alexic	-0.5
algid	-0.3
algidity	-0.3
algophobia	-0.8
algophobic	-0.8
alibi	-0.3
alien	-1
alienate	-0.3
alienated	-0.4
alienation	-0.3
alienator	-0.3
alienist	-0.4
alimony	-0.3
alkalosis	-0.2
alkalotic	-0.2
allegation	-0.4
allegations	-0.4
allege	-0.3
alleged	-0.2
allegedly	-0.6
allergic	-0.7
allergies	-0.6
allergist	-0.4
allergy	-0.3
alligator	-0.2
alone	-0.2
aloof	-0.2
aloofness	-0.2
alopecia	-0.4
alterable	-0.1
altercation	-0.4
amateur	-0.1
amateurish	-0.3
amateurish-looking	-0.5
amateurishly	-0.8
amateurishness	-0.3
amaurosis	-0.8
amaurotic	-0.8
ambiguity	-0.1
ambiguous	-0.5
ambivalence	-0.3
ambivalent	-0.3
ambulance	-0.5
ambush	-0.5
amenity-poor	-0.3
amerce	-0.7
ametropic	-0.8
